periodo,nome,variavel,valor
104,TUCURUI,volume armazenado,33499.36864818077
105,FURNAS,volume armazenado,21996.42054915409
105,TUCURUI,volume armazenado,33137.1608335289
106,FURNAS,volume armazenado,21802.40322529671
106,TUCURUI,volume armazenado,33206.733769816936
107,FURNAS,volume armazenado,21608.816749339334
107,TUCURUI,volume armazenado,33203.88989345138
108,FURNAS,volume armazenado,21415.768833381957
108,TUCURUI,volume armazenado,33275.49492256048
109,FURNAS,volume armazenado,21224.10322142458
109,TUCURUI,volume armazenado,33313.27531707156
110,FURNAS,volume armazenado,21033.4967774672
110,TUCURUI,volume armazenado,33276.214214292355
111,FURNAS,volume armazenado,20843.91359750982
111,TUCURUI,volume armazenado,33208.24279090888
112,FURNAS,volume armazenado,20655.084401552445
112,TUCURUI,volume armazenado,33139.61624700457
113,FURNAS,volume armazenado,20466.434725595067
113,TUCURUI,volume armazenado,33046.6431968148
114,FURNAS,volume armazenado,20278.62879363769
114,TUCURUI,volume armazenado,32944.518561811725
115,FURNAS,volume armazenado,20446.15685763769
115,TUCURUI,volume armazenado,32104.372206521894
116,FURNAS,volume armazenado,20614.349145637687
116,TUCURUI,volume armazenado,31257.120580937426
117,FURNAS,volume armazenado,20782.685049737687
117,TUCURUI,volume armazenado,30423.386504075617
118,FURNAS,volume armazenado,20951.739033737686
118,TUCURUI,volume armazenado,29608.85361273478
119,FURNAS,volume armazenado,21121.654713737684
119,TUCURUI,volume armazenado,28865.49209432586
120,FURNAS,volume armazenado,21292.701369737682
120,TUCURUI,volume armazenado,28220.73570201049
121,FURNAS,volume armazenado,21464.44815373768
121,TUCURUI,volume armazenado,27669.363171663714
122,FURNAS,volume armazenado,21636.26674573768
122,TUCURUI,volume armazenado,27210.132362537566
123,FURNAS,volume armazenado,21808.71365773768
123,TUCURUI,volume armazenado,26802.254776263646
124,FURNAS,volume armazenado,21981.86069773768
124,TUCURUI,volume armazenado,26435.543954224268
125,FURNAS,volume armazenado,21801.8279817803
125,TUCURUI,volume armazenado,26569.439081484827
126,FURNAS,volume armazenado,21941.708959784562
126,TUCURUI,volume armazenado,26222.859757601895
127,FURNAS,volume armazenado,22082.272113788826
127,TUCURUI,volume armazenado,25827.221711167236
128,FURNAS,volume armazenado,21903.908933831448
128,TUCURUI,volume armazenado,25853.55762107163
129,FURNAS,volume armazenado,21726.74853787407
129,TUCURUI,volume armazenado,25866.669044735485
130,FURNAS,volume armazenado,21550.144653916694
130,TUCURUI,volume armazenado,25822.518645967277
131,FURNAS,volume armazenado,21373.935713959316
131,TUCURUI,volume armazenado,25805.776857728823
132,FURNAS,volume armazenado,21198.175574001936
132,TUCURUI,volume armazenado,25758.239159433575
133,FURNAS,volume armazenado,21022.953994044557
133,TUCURUI,volume armazenado,25736.68760717386
134,FURNAS,volume armazenado,20849.07881408718
134,TUCURUI,volume armazenado,25663.212955159674
135,FURNAS,volume armazenado,20675.7421941298
135,TUCURUI,volume armazenado,25543.091966704018
136,FURNAS,volume armazenado,20503.339078172423
136,TUCURUI,volume armazenado,25444.399620915123
137,FURNAS,volume armazenado,20332.354170215047
137,TUCURUI,volume armazenado,25353.617104789868
138,FURNAS,volume armazenado,20481.516332219308
138,TUCURUI,volume armazenado,24649.73845776732
139,FURNAS,volume armazenado,20631.37862222357
139,TUCURUI,volume armazenado,23906.47811914338
140,FURNAS,volume armazenado,20817.86399822357
140,TUCURUI,volume armazenado,23099.467761237196
141,FURNAS,volume armazenado,21005.157214223567
141,TUCURUI,volume armazenado,22311.99065450183
142,FURNAS,volume armazenado,21193.24031822357
142,TUCURUI,volume armazenado,21538.593838414414
143,FURNAS,volume armazenado,21382.131262223567
143,TUCURUI,volume armazenado,20849.228420799514
144,FURNAS,volume armazenado,21571.30943822357
144,TUCURUI,volume armazenado,20264.034257831318
145,FURNAS,volume armazenado,21760.667134223568
145,TUCURUI,volume armazenado,19802.589833235987
146,FURNAS,volume armazenado,21932.5121512257
146,TUCURUI,volume armazenado,19449.563752965896
147,FURNAS,volume armazenado,22105.23681622783
147,TUCURUI,volume armazenado,19147.958348238335
148,FURNAS,volume armazenado,22227.65442550158
148,TUCURUI,volume armazenado,18949.940792153913
149,FURNAS,volume armazenado,22344.947407774074
149,TUCURUI,volume armazenado,18752.000788769492
150,FURNAS,volume armazenado,22360.488809795384
150,TUCURUI,volume armazenado,18673.5329278763
151,FURNAS,volume armazenado,22376.622627816694
151,TUCURUI,volume armazenado,18557.70048213298
152,FURNAS,volume armazenado,22392.971869838006
152,TUCURUI,volume armazenado,18468.97731280094
153,FURNAS,volume armazenado,22409.23135185932
