periodo,submercado,nome,geracao
13,2,FUNIL_GRANDE,59.99999999999999
13,2,FURNAS,100.40310739999994
13,2,FURNAS,152.0
13,2,FURNAS,0.0
13,2,FURNAS,152.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
14,2,CAMARGOS,23.000000000000014
14,2,CAMARGOS,23.00000000000002
14,2,ITUTINGA,12.500000000000007
14,2,ITUTINGA,12.49999999999995
14,2,ITUTINGA,14.0
14,2,ITUTINGA,14.0
14,2,FUNIL_GRANDE,60.0
14,2,FUNIL_GRANDE,60.0
14,2,FUNIL_GRANDE,59.99999999999998
14,2,FURNAS,112.97283859999996
14,2,FURNAS,152.0
14,2,FURNAS,0.0
14,2,FURNAS,152.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
15,2,CAMARGOS,23.00000000000007
15,2,CAMARGOS,23.000000000000007
15,2,ITUTINGA,12.5
15,2,ITUTINGA,12.5
15,2,ITUTINGA,14.0
15,2,ITUTINGA,14.0
15,2,FUNIL_GRANDE,60.0
15,2,FUNIL_GRANDE,60.0
15,2,FUNIL_GRANDE,59.99999999999999
15,2,FURNAS,135.67944979999987
15,2,FURNAS,152.0
15,2,FURNAS,0.0
15,2,FURNAS,152.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
16,2,CAMARGOS,22.99999999999998
16,2,CAMARGOS,23.0
16,2,ITUTINGA,12.500000000000004
16,2,ITUTINGA,12.5
16,2,ITUTINGA,14.0
16,2,ITUTINGA,14.0
16,2,FUNIL_GRANDE,60.0
16,2,FUNIL_GRANDE,60.0
16,2,FUNIL_GRANDE,60.000000000000014
16,2,FURNAS,141.4374492
16,2,FURNAS,15.2
16,2,FURNAS,0.0
16,2,FURNAS,152.0
16,2,FURNAS,152.0
16,2,FURNAS,0.0
16,2,FURNAS,0.0
16,2,FURNAS,0.0
17,2,CAMARGOS,23.000000000000018
17,2,CAMARGOS,22.99999999999994
17,2,ITUTINGA,12.500000000000004
17,2,ITUTINGA,12.5
17,2,ITUTINGA,14.0
17,2,ITUTINGA,14.0
17,2,FUNIL_GRANDE,60.0
17,2,FUNIL_GRANDE,60.0
17,2,FUNIL_GRANDE,60.000000000000014
17,2,FURNAS,26.68516320000008
17,2,FURNAS,152.0
17,2,FURNAS,152.0
17,2,FURNAS,4.284541471610836e-14
17,2,FURNAS,152.0
17,2,FURNAS,0.0
17,2,FURNAS,0.0
17,2,FURNAS,0.0
18,2,CAMARGOS,23.000000000000043
18,2,CAMARGOS,23.000000000000014
18,2,ITUTINGA,12.499999999999972
18,2,ITUTINGA,12.5
18,2,ITUTINGA,14.0
18,2,ITUTINGA,14.0
18,2,FUNIL_GRANDE,60.0
18,2,FUNIL_GRANDE,60.0
18,2,FUNIL_GRANDE,60.000000000000014
18,2,FURNAS,152.0
18,2,FURNAS,152.0
18,2,FURNAS,152.0
18,2,FURNAS,8.148224282800152e-13
18,2,FURNAS,42.68876249999913
18,2,FURNAS,0.0
18,2,FURNAS,0.0
18,2,FURNAS,0.0
19,2,CAMARGOS,23.00000000000006
19,2,CAMARGOS,22.99999999999992
19,2,ITUTINGA,12.499999999999975
19,2,ITUTINGA,12.5
19,2,ITUTINGA,14.0
19,2,ITUTINGA,14.000000000001776
19,2,FUNIL_GRANDE,60.0
19,2,FUNIL_GRANDE,60.0
19,2,FUNIL_GRANDE,60.0
19,2,FURNAS,152.0
19,2,FURNAS,98.48524349999808
19,2,FURNAS,152.0
19,2,FURNAS,4.6687653743049387e-14
19,2,FURNAS,15.2
