periodo,submercado,posto,nome,geracao
101,1,3,SOLAR,0.0
102,1,1,EOL1,85.69677312
102,1,2,EOL2,38.26820875
102,1,3,SOLAR,0.0
103,1,1,EOL1,74.56103424
103,1,2,EOL2,35.04852772
103,1,3,SOLAR,12.8787241
104,1,1,EOL1,63.42529538
104,1,2,EOL2,28.97712922
104,1,3,SOLAR,112.6888358
105,1,1,EOL1,60.03615742
105,1,2,EOL2,19.31808614
105,1,3,SOLAR,206.0595855
106,1,1,EOL1,45.02711808
106,1,2,EOL2,11.95881523
106,1,3,SOLAR,244.6957577
107,1,1,EOL1,30.98640384
107,1,2,EOL2,7.267280026
107,1,3,SOLAR,252.0550289
108,1,1,EOL1,21.7873152
108,1,2,EOL2,3.771626343
108,1,3,SOLAR,246.075621
109,1,1,EOL1,14.04071425
109,1,2,EOL2,2.483753933
109,1,3,SOLAR,225.8376262
110,1,1,EOL1,9.19908864
110,1,2,EOL2,2.943708366
110,1,3,SOLAR,212.0389933
111,1,1,EOL1,9.19908864
111,1,2,EOL2,4.599544322
111,1,3,SOLAR,210.1991753
112,1,1,EOL1,11.61990144
112,1,2,EOL2,6.071398502
112,1,3,SOLAR,204.6797221
113,1,1,EOL1,21.30315265
113,1,2,EOL2,7.359270912
113,1,3,SOLAR,155.464598
114,1,1,EOL1,52.77371902
114,1,2,EOL2,9.843024841
114,1,3,SOLAR,51.05494195
115,1,1,EOL1,83.27596032
115,1,2,EOL2,13.43066942
115,1,3,SOLAR,0.459954431
116,1,1,EOL1,90.53839872
116,1,2,EOL2,17.11030487
116,1,3,SOLAR,0.0
117,1,1,EOL1,84.728448
117,1,2,EOL2,20.3299859
117,1,3,SOLAR,0.0
118,1,1,EOL1,79.8868224
118,1,2,EOL2,21.89383097
118,1,3,SOLAR,0.0
119,1,1,EOL1,79.40265984
119,1,2,EOL2,22.44577628
119,1,3,SOLAR,0.0
120,1,1,EOL1,76.49768448
120,1,2,EOL2,19.13410438
120,1,3,SOLAR,0.0
121,1,1,EOL1,72.624384
121,1,2,EOL2,21.06591299
121,1,3,SOLAR,0.0
122,1,1,EOL1,66.33027074
122,1,2,EOL2,25.48147553
