periodo,nome,variavel,valor
109,TUCURUI,volume armazenado,29701.562397161255
110,FURNAS,volume armazenado,22950.0
110,TUCURUI,volume armazenado,29249.459109127452
111,FURNAS,volume armazenado,22950.0
111,TUCURUI,volume armazenado,28784.25965909855
112,FURNAS,volume armazenado,22950.0
112,TUCURUI,volume armazenado,28319.46382039099
113,FURNAS,volume armazenado,22950.0
113,TUCURUI,volume armazenado,27830.57355440802
114,FURNAS,volume armazenado,22950.0
114,TUCURUI,volume armazenado,27300.961858455074
115,FURNAS,volume armazenado,22950.0
115,TUCURUI,volume armazenado,26722.755776788912
116,FURNAS,volume armazenado,22950.0
116,TUCURUI,volume armazenado,26149.87183394077
117,FURNAS,volume armazenado,22950.0
117,TUCURUI,volume armazenado,25582.08550674771
118,FURNAS,volume armazenado,22950.0
118,TUCURUI,volume armazenado,25027.681263900104
119,FURNAS,volume armazenado,22950.0
119,TUCURUI,volume armazenado,24549.004096693236
120,FURNAS,volume armazenado,22899.056784674154
120,TUCURUI,volume armazenado,24242.90090830109
121,FURNAS,volume armazenado,22887.41654963831
121,TUCURUI,volume armazenado,23975.15893987579
122,FURNAS,volume armazenado,22871.23514163831
122,TUCURUI,volume armazenado,23801.344858596043
123,FURNAS,volume armazenado,22855.68205363831
123,TUCURUI,volume armazenado,23680.42192619493
124,FURNAS,volume armazenado,22950.0
124,TUCURUI,volume armazenado,23461.707670197393
125,FURNAS,volume armazenado,22950.0
125,TUCURUI,volume armazenado,23394.661747451853
126,FURNAS,volume armazenado,22950.0
126,TUCURUI,volume armazenado,23297.34026206966
127,FURNAS,volume armazenado,22950.0
127,TUCURUI,volume armazenado,23132.215543975006
128,FURNAS,volume armazenado,22950.0
128,TUCURUI,volume armazenado,22925.70609931407
129,FURNAS,volume armazenado,22941.49211955671
129,TUCURUI,volume armazenado,22698.838961129648
130,FURNAS,volume armazenado,22870.828850855014
130,TUCURUI,volume armazenado,22473.173888945224
131,FURNAS,volume armazenado,22726.16644631407
131,TUCURUI,volume armazenado,22248.3618957608
132,FURNAS,volume armazenado,22572.110786876165
132,TUCURUI,volume armazenado,22006.5740429608
133,FURNAS,volume armazenado,22396.889206918786
133,TUCURUI,volume armazenado,21821.24940818178
134,FURNAS,volume armazenado,22400.295056940096
134,TUCURUI,volume armazenado,21335.06658821894
135,FURNAS,volume armazenado,22404.239466961408
135,TUCURUI,volume armazenado,20802.23743181463
136,FURNAS,volume armazenado,22409.11738098272
136,TUCURUI,volume armazenado,20290.836918077075
137,FURNAS,volume armazenado,22415.41350300403
137,TUCURUI,volume armazenado,19787.346234003166
138,FURNAS,volume armazenado,22422.750841025343
138,TUCURUI,volume armazenado,19308.67551328656
139,FURNAS,volume armazenado,22253.507277067965
139,TUCURUI,volume armazenado,19089.286470177376
140,FURNAS,volume armazenado,22085.43059311059
140,TUCURUI,volume armazenado,18870.06086803601
141,FURNAS,volume armazenado,21936.508821086943
141,TUCURUI,volume armazenado,18646.61421463601
142,FURNAS,volume armazenado,21774.503607098868
