periodo,submercado,nome,geracao
13,2,FUNIL_GRANDE,60.0
13,2,FUNIL_GRANDE,60.000000000000014
13,2,FUNIL_GRANDE,60.0
13,2,FURNAS,152.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,0.0
13,2,FURNAS,152.0
13,2,FURNAS,100.40310739999995
14,2,CAMARGOS,23.0
14,2,CAMARGOS,23.0
14,2,ITUTINGA,12.499999999999996
14,2,ITUTINGA,12.5
14,2,ITUTINGA,14.0
14,2,ITUTINGA,14.0
14,2,FUNIL_GRANDE,60.0
14,2,FUNIL_GRANDE,60.0
14,2,FUNIL_GRANDE,60.000000000000014
14,2,FURNAS,152.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,0.0
14,2,FURNAS,152.0
14,2,FURNAS,112.97283859999993
15,2,CAMARGOS,23.0
15,2,CAMARGOS,23.0
15,2,ITUTINGA,12.5
15,2,ITUTINGA,12.5
15,2,ITUTINGA,14.0
15,2,ITUTINGA,14.0
15,2,FUNIL_GRANDE,60.0
15,2,FUNIL_GRANDE,60.000000000000014
15,2,FUNIL_GRANDE,59.99999999999998
15,2,FURNAS,152.0
15,2,FURNAS,152.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
15,2,FURNAS,0.0
15,2,FURNAS,15.2
15,2,FURNAS,120.47944979999994
16,2,CAMARGOS,23.0
16,2,CAMARGOS,23.0
16,2,ITUTINGA,12.500000000000004
16,2,ITUTINGA,12.5
16,2,ITUTINGA,14.0
16,2,ITUTINGA,14.0
16,2,FUNIL_GRANDE,60.0
16,2,FUNIL_GRANDE,60.0
16,2,FUNIL_GRANDE,60.0
16,2,FURNAS,152.0
16,2,FURNAS,152.0
16,2,FURNAS,1.4511392087968034e-12
16,2,FURNAS,-9.392486788328824e-13
16,2,FURNAS,0.0
16,2,FURNAS,0.0
16,2,FURNAS,141.4374491999995
16,2,FURNAS,15.2
17,2,CAMARGOS,23.0
17,2,CAMARGOS,23.0
17,2,ITUTINGA,12.499999999999996
17,2,ITUTINGA,12.5
17,2,ITUTINGA,14.0
17,2,ITUTINGA,14.0
17,2,FUNIL_GRANDE,60.0
17,2,FUNIL_GRANDE,60.0
17,2,FUNIL_GRANDE,59.999999999999986
17,2,FURNAS,152.0
17,2,FURNAS,152.0
17,2,FURNAS,1.8394175071989594e-12
17,2,FURNAS,0.0
17,2,FURNAS,152.0
17,2,FURNAS,0.0
17,2,FURNAS,0.0
17,2,FURNAS,26.685163199998186
18,2,CAMARGOS,23.0
18,2,CAMARGOS,23.0
18,2,ITUTINGA,12.5
18,2,ITUTINGA,12.5
18,2,ITUTINGA,14.0
18,2,ITUTINGA,14.0
18,2,FUNIL_GRANDE,60.0
18,2,FUNIL_GRANDE,60.0
18,2,FUNIL_GRANDE,59.99999999999997
18,2,FURNAS,152.0
18,2,FURNAS,152.0
18,2,FURNAS,0.0
18,2,FURNAS,0.0
18,2,FURNAS,152.0
18,2,FURNAS,0.0
18,2,FURNAS,0.0
18,2,FURNAS,42.688762500000024
19,2,CAMARGOS,23.0
19,2,CAMARGOS,23.0
19,2,ITUTINGA,12.500000000000004
19,2,ITUTINGA,12.5
19,2,ITUTINGA,14.0
19,2,ITUTINGA,14.000000000000004
19,2,FUNIL_GRANDE,60.0
19,2,FUNIL_GRANDE,60.000000000000014
19,2,FUNIL_GRANDE,59.99999999999995
19,2,FURNAS,152.0
19,2,FURNAS,113.68524350000001
19,2,FURNAS,6.750155989720952e-14
19,2,FURNAS,-6.750155989720952e-14
