periodo,submercado,nome,geracao,status,acionamento,desligamento
26,1,GT5,0.0,0.0,0.0,0.0
27,1,GT1,200.0,1.0,0.0,0.0
27,1,GT2,50.0,1.0,0.0,0.0
27,1,GT3,0.0,0.0,0.0,0.0
27,1,GT4,0.0,0.0,0.0,0.0
27,1,GT5,0.0,0.0,0.0,0.0
28,1,GT1,200.0,1.0,0.0,0.0
28,1,GT2,153.74498316999995,1.0,0.0,0.0
28,1,GT3,0.0,0.0,0.0,0.0
28,1,GT4,0.0,0.0,0.0,0.0
28,1,GT5,0.0,0.0,0.0,0.0
29,1,GT1,200.0,1.0,0.0,0.0
29,1,GT2,142.3392983299999,1.0,0.0,0.0
29,1,GT3,0.0,0.0,0.0,0.0
29,1,GT4,0.0,0.0,0.0,0.0
29,1,GT5,0.0,0.0,0.0,0.0
30,1,GT1,200.0,1.0,0.0,0.0
30,1,GT2,136.49865020999988,1.0,0.0,0.0
30,1,GT3,0.0,0.0,0.0,0.0
30,1,GT4,0.0,0.0,0.0,0.0
30,1,GT5,0.0,0.0,0.0,0.0
31,1,GT1,200.0,1.0,0.0,0.0
31,1,GT2,120.48080016999984,1.0,0.0,0.0
31,1,GT3,0.0,0.0,0.0,0.0
31,1,GT4,0.0,0.0,0.0,0.0
31,1,GT5,0.0,0.0,0.0,0.0
32,1,GT1,200.0,1.0,0.0,0.0
32,1,GT2,50.0,1.0,0.0,0.0
32,1,GT3,0.0,0.0,0.0,0.0
32,1,GT4,0.0,0.0,0.0,0.0
32,1,GT5,0.0,0.0,0.0,0.0
33,1,GT1,200.0,1.0,0.0,0.0
33,1,GT2,50.0,1.0,0.0,0.0
33,1,GT3,0.0,0.0,0.0,0.0
33,1,GT4,0.0,0.0,0.0,0.0
33,1,GT5,0.0,0.0,0.0,0.0
34,1,GT1,200.0,1.0,0.0,0.0
34,1,GT2,50.0,1.0,0.0,0.0
34,1,GT3,0.0,0.0,0.0,0.0
34,1,GT4,0.0,0.0,0.0,0.0
34,1,GT5,0.0,0.0,0.0,0.0
35,1,GT1,200.0,1.0,0.0,0.0
35,1,GT2,55.28606710999989,1.0,0.0,0.0
35,1,GT3,0.0,0.0,0.0,0.0
35,1,GT4,0.0,0.0,0.0,0.0
35,1,GT5,0.0,0.0,0.0,0.0
36,1,GT1,200.0,1.0,0.0,0.0
36,1,GT2,66.37879614999997,1.0,0.0,0.0
36,1,GT3,0.0,0.0,0.0,0.0
36,1,GT4,0.0,0.0,0.0,0.0
36,1,GT5,0.0,0.0,0.0,0.0
37,1,GT1,200.0,1.0,0.0,0.0
37,1,GT2,193.3497464547333,1.0,0.0,0.0
37,1,GT3,0.0,0.0,0.0,0.0
37,1,GT4,0.0,0.0,0.0,0.0
37,1,GT5,0.0,0.0,0.0,0.0
38,1,GT1,200.0,1.0,0.0,0.0
38,1,GT2,200.0,1.0,0.0,0.0
38,1,GT3,0.0,0.0,0.0,0.0
38,1,GT4,0.0,0.0,0.0,0.0
38,1,GT5,0.0,0.0,0.0,0.0
39,1,GT1,200.0,1.0,0.0,0.0
39,1,GT2,200.0,1.0,0.0,0.0
39,1,GT3,0.0,0.0,0.0,0.0
39,1,GT4,0.0,0.0,0.0,0.0
39,1,GT5,0.0,0.0,0.0,0.0
40,1,GT1,200.0,1.0,0.0,0.0
40,1,GT2,65.80490640999983,1.0,0.0,0.0
40,1,GT3,0.0,0.0,0.0,0.0
40,1,GT4,0.0,0.0,0.0,0.0
40,1,GT5,0.0,0.0,0.0,0.0
41,1,GT1,200.0,1.0,0.0,0.0
41,1,GT2,155.43474796999988,1.0,0.0,0.0
41,1,GT3,0.0,0.0,0.0,0.0
41,1,GT4,0.0,0.0,0.0,0.0
41,1,GT5,0.0,0.0,0.0,0.0
42,1,GT1,200.0,1.0,0.0,0.0
42,1,GT2,200.0,1.0,0.0,0.0
42,1,GT3,0.0,0.0,0.0,0.0
42,1,GT4,0.0,0.0,0.0,0.0
42,1,GT5,0.0,0.0,0.0,0.0
43,1,GT1,200.0,1.0,0.0,0.0
43,1,GT2,200.0,1.0,0.0,0.0
43,1,GT3,0.0,0.0,0.0,0.0
43,1,GT4,0.0,0.0,0.0,0.0
43,1,GT5,0.0,0.0,0.0,0.0
44,1,GT1,200.0,1.0,0.0,0.0
44,1,GT2,200.0,1.0,-0.0,0.0
44,1,GT3,0.0,0.0,0.0,0.0
44,1,GT4,0.0,0.0,0.0,0.0
44,1,GT5,0.0,0.0,0.0,0.0
45,1,GT1,200.0,1.0,0.0,0.0
45,1,GT2,82.21357318384851,1.0,0.0,0.0
45,1,GT3,0.0,0.0,0.0,0.0
45,1,GT4,0.0,0.0,0.0,0.0
45,1,GT5,0.0,0.0,0.0,0.0
46,1,GT1,200.0,1.0,0.0,0.0
46,1,GT2,197.4574763636801,1.0,0.0,0.0
46,1,GT3,0.0,0.0,0.0,0.0
46,1,GT4,0.0,0.0,0.0,0.0
46,1,GT5,0.0,0.0,0.0,0.0
47,1,GT1,200.0,1.0,0.0,0.0
47,1,GT2,139.48490734047994,1.0,0.0,0.0
47,1,GT3,0.0,0.0,0.0,0.0
47,1,GT4,0.0,0.0,0.0,0.0
47,1,GT5,0.0,0.0,0.0,0.0
48,1,GT1,200.0,1.0,0.0,0.0
48,1,GT2,200.0,1.0,0.0,0.0
48,1,GT3,0.0,0.0,0.0,0.0
48,1,GT4,0.0,0.0,0.0,0.0
48,1,GT5,0.0,0.0,0.0,0.0
49,1,GT1,200.0,1.0,0.0,0.0
49,1,GT2,50.0,1.0,0.0,0.0
49,1,GT3,0.0,0.0,0.0,0.0
49,1,GT4,0.0,0.0,0.0,0.0
49,1,GT5,0.0,0.0,0.0,0.0
50,1,GT1,200.0,1.0,0.0,0.0
50,1,GT2,200.0,1.0,0.0,0.0
50,1,GT3,0.0,0.0,0.0,0.0
50,1,GT4,0.0,0.0,0.0,0.0
50,1,GT5,0.0,0.0,0.0,0.0
51,1,GT1,200.0,1.0,0.0,0.0
51,1,GT2,195.13520950999998,1.0,0.0,0.0
51,1,GT3,0.0,0.0,0.0,0.0
51,1,GT4,0.0,0.0,0.0,0.0
51,1,GT5,0.0,0.0,0.0,0.0
52,1,GT1,200.0,1.0,0.0,0.0
52,1,GT2,185.07238618999992,1.0,0.0,0.0
52,1,GT3,0.0,0.0,0.0,0.0
52,1,GT4,0.0,0.0,0.0,0.0
52,1,GT5,0.0,0.0,0.0,0.0
53,1,GT1,200.0,1.0,0.0,0.0
53,1,GT2,188.33143678999994,1.0,0.0,0.0
53,1,GT3,0.0,0.0,0.0,0.0
53,1,GT4,0.0,0.0,0.0,0.0
53,1,GT5,0.0,0.0,0.0,0.0
54,1,GT1,200.0,1.0,0.0,0.0
54,1,GT2,50.0,1.0,0.0,0.0
54,1,GT3,0.0,0.0,0.0,0.0
54,1,GT4,0.0,0.0,0.0,0.0
54,1,GT5,0.0,0.0,0.0,0.0
55,1,GT1,200.0,1.0,0.0,0.0
55,1,GT2,200.0,1.0,0.0,0.0
55,1,GT3,0.0,0.0,0.0,0.0
55,1,GT4,0.0,0.0,0.0,0.0
